Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,city,country,lat,lng,3-5_tavg,3-5_tmin,3-5_tmax,3-5_prcp,3-5_tsun,6-8_tavg,6-8_tmin,6-8_tmax,6-8_prcp,6-8_tsun,9-11_tavg,9-11_tmin,9-11_tmax,9-11_prcp,9-11_tsun
Kallstadter Steinacker Riesling 2015,Germany,Pfalz,Rings,4.0,25,19.0,2015-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
Kerner Carned 2018,Italy,Südtirol - Alto Adige,Cantina Kaltern,3.7,25,16.17,2018-01-01,Südtirol - Alto Adige,Italy,46.441472,11.282121,,,,,,,,,,,,,,,
Fehérburgundi 2017,Hungary,Sopron,Weninger,3.9,25,11.02,2017-01-01,Sopron,Hungary,47.6803063,16.5983457,,,,,,21.9,16.7,27.4,,,9.7,6.2,13.7,,
Grauburgunder - Weissburgunder 2019,Germany,Pfalz,Weingut A. Diehl,3.4,25,7.05,2019-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
Weisser Burgunder Trocken 2013,Germany,Rheinhessen,Wittmann,3.9,25,10.63,2013-01-01,Rheinhessen,Germany,49.9045181,8.2711082,,,,,,,,,,,,,,,
Ruppertsberg Riesling 2017,Germany,Pfalz,A. Christmann,3.7,25,19.87,2017-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
Weissburgunder Trocken 2017,Germany,Ahr,Burggarten,3.9,25,10.72,2017-01-01,Ahr,Germany,50.4728741,6.9477258,,,,,,,,,,,,,,,
Deep Blue 2018,Germany,Nahe,Martin Tesch,3.5,25,10.9,2018-01-01,Nahe,Germany,49.7874798,7.4869735,,,,,,,,,,,,,,,
Gewürztraminer - Riesling Trocken 2017,Germany,Pfalz,Knipser,3.9,25,10.9,2017-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
Veneto Bianco 2017,Italy,Veneto,Cantina di Soave,2.7,25,5.42,2017-01-01,Veneto,Italy,45.6476663,11.8665254,13.566666666666668,11.1,18.53333333333333,111.9,,23.733333333333334,17.75,28.933333333333337,53.3,,14.766666666666666,10.2,19.3,98.9,
Kalk & Stein 2017,Germany,Pfalz,Rings,4.1,25,16.7,2017-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
Schlossberg 2017,Germany,Rheingau,Schloss Vollrads,3.9,25,27.78,2017-01-01,Rheingau,Germany,50.1339394,8.0701591,,,,,,,,,,,,,,,
Schick und Schön 2018,Germany,German Wine,Tina Pfaffmann,3.7,25,10.9,2018-01-01,German Wine,Germany,51.5,10.5,,,,,,,,,,,,,,,
R Chardonnay Nature 2018,Germany,Pfalz,Weingut Seckinger,3.7,25,15.4,2018-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
Johannisberg Riesling Alte Reben Trocken 2018,Germany,Rheingau,Trenz,3.8,25,11.9,2018-01-01,Rheingau,Germany,50.1339394,8.0701591,,,,,,,,,,,,,,,
Live Wire Riesling 2019,Australia,Barossa,Langmeil,3.5,25,11.95,2019-01-01,Barossa,Australia,-34.6134149,138.9385455,,11.133333333333333,20.666666666666664,36.2,,,6.066666666666666,11.966666666666669,75.33333333333333,,,8.133333333333333,18.566666666666666,49.9,
Alejairén Airen 2017,Spain,La Mancha,El Vínculo,3.6,25,18.42,2017-01-01,La Mancha,Spain,28.3774367,-16.6977504,7.599999999999999,3.766666666666667,12.1,23.833333333333332,,17.3,12.866666666666667,21.933333333333334,0.0,,12.55,6.966666666666666,14.5,11.666666666666666,
Pinot Gris 2016,Luxembourg,Luxembourg,Château de Schengen,4.1,25,21.44,2016-01-01,Luxembourg,Luxembourg,49.8158683,6.1296751,9.633333333333335,4.8999999999999995,14.200000000000001,36.43333333333333,,19.2,13.633333333333333,24.733333333333334,45.633333333333326,,9.733333333333334,6.833333333333333,12.833333333333334,72.10000000000001,
Muscadet Sèvre-et-Maine Sur Lie 2017,France,Muscadet-Sevre et Maine,Marc Brédif,3.9,25,14.38,2017-01-01,Muscadet-Sevre et Maine,France,46.76978,-0.432688,14.4,9.4,19.4,,,20.9,14.55,27.1,,,12.3,7.6,17.6,,
W Riesling 2016,Germany,Mosel,Markus Molitor,3.4,25,31.68,2016-01-01,Mosel,Germany,50.7810263,12.4780171,,,,,,,,,,,,,,,
Ried Schafflerberg Grüner Veltliner 2018,Austria,Wagram,Leth,3.9,25,12.07,2018-01-01,Wagram,Austria,48.4173292,15.9560853,16.3,10.6,21.9,,,,,,,,8.7,5.35,12.25,,
Westhofener Weisser Burgunder - Chardonnay Trocken 2017,Germany,Rheinhessen,Wittmann,4.1,25,18.53,2017-01-01,Rheinhessen,Germany,49.9045181,8.2711082,,,,,,,,,,,,,,,
Schiefer Riesling Trocken 2018,Germany,Mosel,Villa Huesgen,3.6,25,14.11,2018-01-01,Mosel,Germany,50.7810263,12.4780171,,,,,,,,,,,,,,,
Castel Firmian Pinot Grigio Riserva 2018,Italy,Teroldego Rotaliano,Mezzacorona,4.0,25,9.37,2018-01-01,Teroldego Rotaliano,Italy,42.83333,12.83333,,,,,,,,,,,,,,,
Grauer Burgunder Trocken 2016,Germany,Baden,Bernhard Huber,3.8,25,17.79,2016-01-01,Baden,Germany,53.0023496,9.0820955,,,,,,,,,,,,,,,
Chenin Blanc 2018,South Africa,Robertson,Klippenkop,3.6,25,6.54,2018-01-01,Robertson,South Africa,-33.802222,19.883611,19.2,11.700000000000001,28.35,,,12.633333333333333,5.866666666666667,22.049999999999997,,,17.333333333333336,10.3,29.6,,
Côte de Rouffach Pinot Gris 2017,France,Alsace,René Muré,4.1,25,15.5,2017-01-01,Alsace,France,50.7007285,3.160983,9.733333333333333,3.8499999999999996,14.566666666666668,77.3,,17.933333333333334,12.966666666666667,23.133333333333336,78.19999999999999,,11.566666666666665,7.800000000000001,15.833333333333334,47.75,
Chardonnay Kalkstein Trocken 2018,Germany,Rheinhessen,Manz,3.9,25,11.5,2018-01-01,Rheinhessen,Germany,49.9045181,8.2711082,,,,,,,,,,,,,,,
La Trucha Albariño 2019,Spain,Rías Baixas,Finca Garabelos,4.3,25,14.7,2019-01-01,Rías Baixas,Spain,42.8819145,-8.5487998,10.533333333333333,6.366666666666667,15.433333333333332,135.63333333333333,,18.366666666666664,13.633333333333333,24.03333333333333,47.43333333333334,,14.333333333333334,9.766666666666667,19.53333333333333,139.03333333333333,
Schlossberg Achkarren Grauburgunder GG 2016,Germany,Baden,Dr. Heger,4.0,25,28.0,2016-01-01,Baden,Germany,53.0023496,9.0820955,,,,,,,,,,,,,,,
Frühtau Riesling Trocken 2018,Germany,Nahe,Emrich-Schönleber,3.9,26,17.5,2018-01-01,Nahe,Germany,49.7874798,7.4869735,,,,,,,,,,,,,,,
Pouilly-Vinzelles En Paradis 2018,France,Pouilly-Vinzelles,Louis Latour,3.8,26,15.98,2018-01-01,Pouilly-Vinzelles,France,46.2781723,4.7833364,,,,,,,,,,,13.1,8.4,18.7,,
Sauvignon Blanc 2019,Germany,Pfalz,Ellermann-Spiegel,4.1,26,7.36,2019-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
Weissburgunder Trocken 2018,Germany,Nahe,Emrich-Schönleber,3.8,26,15.5,2018-01-01,Nahe,Germany,49.7874798,7.4869735,,,,,,,,,,,,,,,
Pinot Grigio 2019,Italy,Terre Siciliane,Epicuro,3.5,26,5.5,2019-01-01,Terre Siciliane,Italy,42.83333,12.83333,,,,,,24.2,17.7,31.7,,,16.099999999999998,11.399999999999999,21.46666666666667,,
Sauvignon Blanc Reserva 2018,Chile,Maipo Valley,Escudo Rojo,3.5,26,7.36,2018-01-01,Maipo Valley,Chile,-30.0,-71.0,15.4,13.9,,0.0,,11.833333333333334,7.9,,3.05,,13.299999999999999,,,1.7999999999999998,
Villa Blanche Sauvignon Blanc 2018,France,Pays d'Oc,Calmel & Joseph,3.4,26,7.4,2018-01-01,Pays d'Oc,France,43.604764,1.4540399,13.666666666666666,8.566666666666668,19.799999999999997,75.8,,22.46666666666667,17.733333333333334,28.599999999999998,40.9,,13.666666666666666,9.466666666666667,19.099999999999998,26.433333333333334,
Greco di Tufo 2018,Italy,Campania,Pietracupa,4.0,26,23.65,2018-01-01,Campania,Italy,40.860672,14.843984,,,,,,,,,,,,,,,
Spring Fever Chardonnay 2018,Australia,Eden Valley,Langmeil,3.6,26,11.95,2018-01-01,Eden Valley,Australia,-34.6666979,139.1299649,,11.266666666666666,20.366666666666667,42.06666666666666,,,6.233333333333334,12.133333333333333,103.2,,,9.799999999999999,19.733333333333334,49.53333333333333,
Collemare Marche Bianco 2016,Italy,Marche,Roberto Lucarelli,3.9,26,10.95,2016-01-01,Marche,Italy,43.3458388,13.1415872,,,,,,,,,,,12.95,9.3,16.75,,
Lotterbrunnen Gewürztraminer 2016,Italy,Südtirol - Alto Adige,Castel Sallegg,4.1,26,11.5,2016-01-01,Südtirol - Alto Adige,Italy,46.441472,11.282121,,,,,,,,,,,,,,,
Jalè (Tenuta Ficuzza) 2018,Italy,Sicilia,Cusumano,4.1,26,15.5,2018-01-01,Sicilia,Italy,37.587794,14.155048,,,,,,,,,,,,,,,
Meursault Blanc 2017,France,Meursault,Bouchard Père & Fils,3.8,26,38.7,2017-01-01,Meursault,France,46.9783803,4.7694038,,,,,,,,,,,,,,,
Sauvignon Blanc 2018,Hungary,Tolna,Tűzkő,3.5,26,7.66,2018-01-01,Tolna,Hungary,46.4883447,18.5050005,,,,,,,,,,,11.1,5.1,18.4,,
Monte Carbonare 2018,Italy,Soave Classico,Suavia,4.1,26,12.3,2018-01-01,Soave Classico,Italy,42.83333,12.83333,,,,,,,,,,,,,,,
Chablis 1er Cru 'Vaillons' 2018,France,Chablis 1er Cru 'Vaillons',Domaine Servin,3.8,26,22.5,2018-01-01,Chablis 1er Cru 'Vaillons',France,46.0,2.0,,,,,,,,,,,8.85,3.5500000000000003,14.55,,
Der Ott 2018,Austria,Wagram,Bernhard Ott,3.8,26,20.9,2018-01-01,Wagram,Austria,48.4173292,15.9560853,16.3,10.6,21.9,,,,,,,,8.7,5.35,12.25,,
Vale do Homem Alvarinho 2018,Portugal,Minho,Quintas do Homem,3.7,26,8.38,2018-01-01,Minho,Portugal,41.6347151,-8.1425725,15.9,10.350000000000001,22.25,,,21.6,15.2,29.1,,,17.95,12.35,25.25,,
Grauer Burgunder 2017,Austria,Südsteiermark,Weingut Erich & Walter Polz,3.7,26,22.3,2017-01-01,Südsteiermark,Austria,46.7742389,15.6670127,,,,,,,,,,,,,,,
Riesling Trocken 2018,Germany,Rheinhessen,Hofmann,3.7,26,7.95,2018-01-01,Rheinhessen,Germany,49.9045181,8.2711082,,,,,,,,,,,,,,,
Grüner Veltliner Lamm Reserve 2017,Austria,Kamptal,Weingut Bründlmayer,4.1,26,43.99,2017-01-01,Kamptal,Austria,48.513417,15.6940311,,,,,,21.1,15.8,27.1,,,9.2,6.0,12.7,,
Vulkanfelsen Grauer Burgunder Spätlese Trocken 2014,Germany,Baden,Burkheimer,3.8,26,15.9,2014-01-01,Baden,Germany,53.0023496,9.0820955,,,,,,,,,,,,,,,
Vernaccia di San Gimignano 2019,Italy,Vernaccia di San Gimignano,Fattoria San Donato,3.4,26,11.21,2019-01-01,Vernaccia di San Gimignano,Italy,43.4680172,11.0419989,,,,,,26.4,21.2,32.1,,,17.066666666666666,13.166666666666666,21.666666666666668,,
Sauvignon Blanc Quarzit 2019,Germany,Pfalz,Weingut Pflüger,3.9,26,8.0,2019-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
Royal Riesling Kabinett Trocken 2018,Germany,Johannisberg,Prinz von Hessen,4.0,26,12.5,2018-01-01,Johannisberg,Germany,50.0031207,7.9811854,11.700000000000001,6.3999999999999995,17.266666666666666,37.300000000000004,11392.0,19.76666666666667,14.4,25.566666666666663,68.3,13418.0,10.666666666666666,6.966666666666668,14.966666666666667,42.833333333333336,5464.0
Grauburgunder Trocken 2019,Germany,Rheinhessen,Hofmann,3.8,26,7.95,2019-01-01,Rheinhessen,Germany,49.9045181,8.2711082,,,,,,,,,,,,,,,
Doria 2017,France,Luberon,Marrenon,3.5,26,11.99,2017-01-01,Luberon,France,43.8559446,5.5895866,,,,,,,,,,,,,,,
Chardonnay 2019,France,Vin de France,Château Pesquie,3.6,26,8.1,2019-01-01,Vin de France,France,50.2767373,3.977096,,,,,,,,,,,,,,,
Châteauneuf-du-Pape Prestige 2012,France,Châteauneuf-du-Pape,Domaine de la Janasse,4.1,26,69.95,2012-01-01,Châteauneuf-du-Pape,France,44.055989,4.8317351,,,,,,20.9,15.5,26.4,,,,,,,
Chenin Blanc 2019,South Africa,Western Cape,Long Beach,3.7,26,5.79,2019-01-01,Western Cape,South Africa,-33.546977,20.72753,,,,,,11.149999999999999,3.7,20.049999999999997,,,18.833333333333332,11.299999999999999,23.1,,
Sancerre Blanc 2019,France,Sancerre,Pascal Jolivet,4.1,26,24.24,2019-01-01,Sancerre,France,47.3306906,2.8390454,,,,,,21.333333333333332,15.133333333333333,27.03333333333333,,,13.366666666666665,8.266666666666666,18.7,,
Ritme Blanc 2017,Spain,Priorat,Acustic Celler,4.0,26,16.99,2017-01-01,Priorat,Spain,41.2137983,0.8116236,15.200000000000001,9.6,21.3,46.833333333333336,,24.600000000000005,18.8,29.4,12.866666666666669,,18.166666666666668,13.766666666666666,23.766666666666666,48.300000000000004,
Iphöfer Julius-Echter-Berg Riesling 2018,Germany,Franken,Hans Wirsching,3.8,26,14.74,2018-01-01,Franken,Germany,50.5011427,7.2341043,,,,,,,,,,,,,,,
Arcane 2018,France,Saumur,Château de Fosse-Sèche,4.0,26,27.2,2018-01-01,Saumur,France,47.2541743,-0.0661854,,,,,,,,,,,,,,,
Blanco 2018,Spain,Rioja,Eguren Ugarte,3.4,26,4.5,2018-01-01,Rioja,Spain,42.3285528,-2.4674917,14.133333333333333,7.2,21.899999999999995,27.266666666666666,,22.433333333333334,16.066666666666666,30.2,60.26666666666667,,13.933333333333332,8.266666666666667,20.933333333333334,13.066666666666668,
Wildcard Chardonnay (Unoaked) 2018,Australia,South Australia,Peter Lehmann,3.1,26,6.69,2018-01-01,South Australia,Australia,-30.5343665,135.6301212,19.7,11.633333333333333,27.633333333333336,30.3,,12.333333333333334,4.733333333333333,20.466666666666665,0.0,,20.833333333333332,12.6,29.099999999999998,16.26666666666667,
Chenin 2018,South Africa,Western Cape,Luddite,4.0,26,32.9,2018-01-01,Western Cape,South Africa,-33.546977,20.72753,21.45,13.8,29.2,,,11.25,3.6500000000000004,21.2,,,16.9,9.399999999999999,28.1,,
Vieilles Vignes Côtes Catalanes Blanc 2015,France,Côtes Catalanes,Gauby,4.0,26,29.15,2015-01-01,Côtes Catalanes,France,42.74503,2.896873,15.200000000000001,10.6,20.133333333333333,28.333333333333332,14280.0,23.066666666666666,18.53333333333333,28.0,37.666666666666664,15220.0,18.5,14.133333333333335,23.400000000000002,127.66666666666667,11300.0
Evoè Bianco 2013,Italy,Toscana,Panizzi,3.8,26,24.24,2013-01-01,Toscana,Italy,43.4586541,11.1389204,,,,,,,,,,,,,,,
Grüner Veltliner Ried Loibenberg 2017,Austria,Wachau,Pichler-Krutzler,3.8,26,32.87,2017-01-01,Wachau,Austria,47.7286939,16.2263822,,,,,,,,,,,,,,,
Bandol Blanc 2016,France,Bandol,Domaine de la Tour du Bon,3.8,26,18.84,2016-01-01,Bandol,France,43.1357717,5.7523647,,,,,,,,,,,,,,,
Souvignier Gris 2017,Italy,Mitterberg,Thomas Niedermayr,3.8,26,16.9,2017-01-01,Mitterberg,Italy,46.7088172,11.752371,,,,,,,,,,,,,,,
Weissburgunder 2018,Italy,Südtirol - Alto Adige,Colterenzio (Schreckbichl),3.7,26,9.21,2018-01-01,Südtirol - Alto Adige,Italy,46.441472,11.282121,,,,,,,,,,,,,,,
Benedictus Lugana 2018,Italy,Lugana,Le Morette,3.7,26,9.8,2018-01-01,Lugana,Italy,45.4600534,10.6196897,,,,,,,,,,,16.7,12.8,21.4,,
Trebbiano d'Abruzzo 2016,Italy,Trebbiano d'Abruzzo,Villamedoro,3.1,26,4.7,2016-01-01,Trebbiano d'Abruzzo,Italy,42.83333,12.83333,,,,,,,,,,,,,,,
Arneis Langhe 2018,Italy,Langhe,Ascheri,3.6,26,9.9,2018-01-01,Langhe,Italy,44.493036,7.974639,,,,,,,,,,,,,,,
Trebbiano d'Abruzzo 2018,Italy,Trebbiano d'Abruzzo,Caldora,2.9,26,4.75,2018-01-01,Trebbiano d'Abruzzo,Italy,42.83333,12.83333,,,,,,,,,,,,,,,
Pessac-Léognan Blanc 2015,France,Pessac-Léognan,Château Gazin Rocquencourt,4.0,26,34.15,2015-01-01,Pessac-Léognan,France,44.718997,-0.60521,13.066666666666668,8.433333333333334,18.400000000000002,80.66666666666667,11840.0,20.3,15.6,25.700000000000003,66.0,14940.0,16.5,12.299999999999999,22.03333333333333,64.33333333333333,10860.0
Pratum 2015,Italy,Südtirol - Alto Adige,Castel Sallegg,4.0,26,26.29,2015-01-01,Südtirol - Alto Adige,Italy,46.441472,11.282121,,,,,,,,,,,,,,,
Ölberg Riesling 2017,Germany,Rheinhessen,Kühling-Gillot,4.2,26,35.65,2017-01-01,Rheinhessen,Germany,49.9045181,8.2711082,,,,,,,,,,,,,,,
Alt Scheidt Riesling Feinherb 2017,Germany,Mosel,Peter Lauer,3.8,26,11.95,2017-01-01,Mosel,Germany,50.7810263,12.4780171,,,,,,,,,,,,,,,
Steren Weiß- & Grauburgunder Trocken 2018,Germany,Franken,Bürgerspital,3.2,26,9.39,2018-01-01,Franken,Germany,50.5011427,7.2341043,,,,,,,,,,,,,,,
Neuburger Freyheit 2017,Austria,Bergland,Heinrich,3.7,26,18.98,2017-01-01,Bergland,Austria,48.151798,15.1892956,,,,,,,,,,,,,,,
Sauvignon Blanc 2018,New Zealand,Marlborough,Main Divide,3.8,26,16.95,2018-01-01,Marlborough,New Zealand,-41.4744747,173.8330263,,,,,,,,,,,,,,,
Sauvignon Blanc 2019,South Africa,Cape Point,Cape Point Vineyards,3.5,26,13.25,2019-01-01,Cape Point,South Africa,-34.3573947,18.4977883,,,,,,11.7,9.9,13.8,,,15.5,13.133333333333335,18.133333333333333,,
Mandorlo White Blend 2018,Italy,Toscana,Montellori,3.7,26,9.37,2018-01-01,Toscana,Italy,43.4586541,11.1389204,,,,,,,,,,,,,,,
Ruppertsberger Riesling 2017,Germany,Pfalz,Fußer,3.7,26,10.6,2017-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
Schieferblume Riesling Trocken 2018,Germany,Mosel,Rita & Rudolf Trossen,3.8,26,13.4,2018-01-01,Mosel,Germany,50.7810263,12.4780171,,,,,,,,,,,,,,,
Embruns de Viognier 2019,France,Pays d'Oc,Michel Gassier,3.5,26,9.68,2019-01-01,Pays d'Oc,France,43.604764,1.4540399,13.1,9.1,17.766666666666666,85.0,,22.933333333333334,17.500000000000004,28.666666666666668,46.166666666666664,,15.666666666666666,11.433333333333332,20.633333333333333,35.833333333333336,
M Grüner Veltliner Smaragd 2017,Austria,Wachau,F.X. Pichler,4.3,26,72.5,2017-01-01,Wachau,Austria,47.7286939,16.2263822,,,,,,,,,,,,,,,
L'Aubinière Muscadet Sèvre et Maine Sur Lie 2018,France,Muscadet-Sevre et Maine,Terroirs de la Noëlle,3.4,27,6.5,2018-01-01,Muscadet-Sevre et Maine,France,46.76978,-0.432688,11.3,5.2,17.5,,,,,,,,,,,,
Chardonnay Felsenstein 2018,Austria,Burgenland,Birgit Braunstein,3.8,27,11.95,2018-01-01,Burgenland,Austria,47.5000001,16.4166666,,,,,,,,,,,11.7,7.1,17.0,,
Christoffel Hazenwinkel The White Blend 2018,South Africa,Western Cape,Hazendal,3.4,27,14.5,2018-01-01,Western Cape,South Africa,-33.546977,20.72753,21.45,13.8,29.2,,,11.25,3.6500000000000004,21.2,,,16.9,9.399999999999999,28.1,,
Appenheimer Riesling Kalkstein 2018,Germany,Rheinhessen,Knewitz,3.6,27,14.5,2018-01-01,Rheinhessen,Germany,49.9045181,8.2711082,,,,,,,,,,,,,,,
Rotschiefer Riesling 2014,Germany,Mosel,Sorentberg,3.8,27,14.7,2014-01-01,Mosel,Germany,50.7810263,12.4780171,,,,,,,,,,,,,,,
Bordeaux Blanc Sec 2016,France,Bordeaux Sec,Château Lafaurie-Peyraguey,3.9,27,67.75,2016-01-01,Bordeaux Sec,France,49.2979146,1.9208476,,,,,,,,,,,10.1,6.25,13.85,,
Hattenheimer Schützenhaus Riesling Kabinett 2018,Germany,Rheingau,Balthasar Ress,3.8,27,13.9,2018-01-01,Rheingau,Germany,50.1339394,8.0701591,,,,,,,,,,,,,,,
Hipping Riesling 2016,Germany,Rheinhessen,Schätzel,3.6,27,60.96,2016-01-01,Rheinhessen,Germany,49.9045181,8.2711082,,,,,,,,,,,,,,,
Obvius Bianco 2017,Italy,Toscana,Salcheto,3.5,27,13.9,2017-01-01,Toscana,Italy,43.4586541,11.1389204,,,,,,,,,,,,,,,
Manzoni Bianco Fontanasanta 2019,Italy,Vigneti delle Dolomiti,Foradori,3.6,27,18.06,2019-01-01,Vigneti delle Dolomiti,Italy,46.38333,11.85,,,,,,12.5,9.4,16.4,,,5.566666666666667,3.1,8.866666666666665,,
Riesling Charta 2017,Germany,Rheingau,Barth,3.8,27,13.68,2017-01-01,Rheingau,Germany,50.1339394,8.0701591,,,,,,,,,,,,,,,
Barrique Sauvignon Blanc 2015,New Zealand,Marlborough,Saint Clair,4.0,27,18.95,2015-01-01,Marlborough,New Zealand,-41.4744747,173.8330263,,,,,,,,,,,,,,,
Altos R Blanco 2018,Spain,Rioja,Altos de Rioja,3.6,27,6.95,2018-01-01,Rioja,Spain,42.3285528,-2.4674917,14.133333333333333,7.2,21.899999999999995,27.266666666666666,,22.433333333333334,16.066666666666666,30.2,60.26666666666667,,13.933333333333332,8.266666666666667,20.933333333333334,13.066666666666668,
Schiefersteil Riesling 2018,Germany,Mosel,Markus Molitor,4.0,27,12.5,2018-01-01,Mosel,Germany,50.7810263,12.4780171,,,,,,,,,,,,,,,
Markus Pfaffmann Sauvignon Blanc Trocken 2019,Germany,Pfalz,Karl Pfaffmann,4.1,27,7.5,2019-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
Bürklin Estate Riesling 2018,Germany,Pfalz,Dr. Bürklin-Wolf,3.7,27,12.5,2018-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
Chardonnay 2017,United States,Monterey,Craftwork,3.7,27,14.99,2017-01-01,Monterey,United States,36.2231079,-121.387742,,,,,,,,,,,,,,,
Ritterpfad Riesling Kabinett 2015,Germany,Mosel,Van Volxem,4.0,27,17.95,2015-01-01,Mosel,Germany,50.7810263,12.4780171,,,,,,,,,,,,,,,
Pinot Bianco - Pinot Nero 2017,Italy,Veneto,Biscardo,3.6,27,7.2,2017-01-01,Veneto,Italy,45.6476663,11.8665254,13.566666666666668,11.1,18.53333333333333,111.9,,23.733333333333334,17.75,28.933333333333337,53.3,,14.766666666666666,10.2,19.3,98.9,
Escherndorfer Lump Riesling S. 2018,Germany,Franken,Horst Sauer,3.9,27,18.0,2018-01-01,Franken,Germany,50.5011427,7.2341043,,,,,,,,,,,,,,,
Catarratto - Zibibbo 2019,Italy,Terre Siciliane,Vaccaro,4.0,27,7.31,2019-01-01,Terre Siciliane,Italy,42.83333,12.83333,,,,,,24.2,17.7,31.7,,,16.099999999999998,11.399999999999999,21.46666666666667,,
