Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,lat,lng
Zweigelt Federspiel Terrassen Rosé 2018,Austria,Wachau,Domäne Wachau,2.7,31,9.5,2018,47.7286939,16.2263822
Rosé de Léoube 2019,France,Côtes de Provence,Château Léoube,3.8,31,16.9,2019,43.4370505,6.652775
Kleine Rust Pinotage Rosé 2018,South Africa,Stellenbosch,Stellenrust,3.8,31,7.79,2018,-33.934444,18.869167
Rosé 2015,Germany,Pfalz,Philipp Kuhn,3.5,32,10.01,2015,53.8156324,13.3702287
Aire de Protos Rosé 2019,Spain,Ribera del Duero,Protos,3.7,33,8.99,2019,41.6657566,-3.6863295
Mount Hermon Rosé 2018,Israel,Galilee,Hermon,3.2,33,11.7,2018,32.8008444,35.5889732
Solaz Rosado 2018,Spain,Castilla,Osborne,3.8,33,5.81,2018,40.4763551,-3.6800358
Pinot Grigio Ramato 2019,Italy,Friuli-Venezia Giulia,Attems,3.8,33,12.53,2019,46.151042,13.055904
Rosé 2017,Portugal,Douro,Quinta dos Avidagos,3.8,33,6.43,2017,41.135684,-7.1166743
L'or du Sud Syrah Rosé 2017,France,Pays d'Oc,Foncalieu,3.4,33,5.32,2017,43.604764,1.4540399
Rosé 2018,Germany,Pfalz,Philipp Kuhn,3.8,33,8.84,2018,53.8156324,13.3702287
Viña Esmeralda Rosado 2019,Spain,Catalunya,Torres,3.8,33,7.4,2019,41.8523094,1.5745043
Vignes de Nicole Rosé 2019,France,Pézenas,Paul Mas,3.4,33,7.29,2019,43.4611777,3.4228323
Der Elefant im Porzellanladen 2019,Austria,Burgenland,Strehn,4.3,34,18.64,2019,47.5000001,16.4166666
Coteaux Bourguignons Rosé 2018,France,Coteaux Bourguignons,Louis Jadot,3.6,34,13.57,2018,48.130756,4.353561
Fronton Rosé 2018,France,Fronton,Château Bellevue La Forét,3.6,34,7.44,2018,43.840295,1.390285
Côtes de Provence Rosé 2018,France,Côtes de Provence,Domaine l'Ile Porquerolles,3.6,35,17.5,2018,43.4370505,6.652775
Mas Donis Rosat Montsant 2019,Spain,Montsant,Capçanes,3.6,35,6.75,2019,41.1171253,1.211005
Cuvée Speciale des Vignettes Rosé 2016,France,Provence,Clos Cibonne,4.2,36,22.9,2016,44.0580563,6.0638506
Bardolino Chiaretto Classico 2018,Italy,Bardolino Classico,Villabella,3.8,36,7.18,2018,42.83333,12.83333
Garrus Rosé 2018,France,Côtes de Provence,Château d'Esclans,4.8,36,109.0,2018,43.4370505,6.652775
Tavel Beaurevoir 2018,France,Tavel,M. Chapoutier,4.1,36,15.5,2018,44.0127055,4.6982216
Pinot Noir Rosé Trocken 2019,Germany,Rheinhessen,Seehof,3.8,36,7.5,2019,49.9045181,8.2711082
Memòries de Biniagual Rosado 2018,Spain,Binissalem-Mallorca,Biniagual,3.8,36,12.57,2018,39.6002717,2.6720865
L'Origine Côtes de Provence Rosé 2019,France,Côtes de Provence,Château de l'Aumerade,3.6,37,10.99,2019,43.4370505,6.652775
Bardolino Chiaretto 2017,Italy,Bardolino,Delibori,3.7,37,6.2,2017,45.5475595,10.7242145
Alghero Rosato 2019,Italy,Alghero,Sella & Mosca,3.4,37,6.69,2019,40.584479,8.3576056
Haedus Côtes de Provence Rosé 2019,France,Provence,Ferry Lacombe,3.8,38,9.7,2019,44.0580563,6.0638506
Pinot Noir Rosé Trocken 2019,Germany,Rheingau,Balthasar Ress,3.4,38,7.9,2019,50.1339394,8.0701591
Merlot Rosé Trocken 2018,Germany,Pfalz,Weingut Metzger,3.7,38,6.77,2018,53.8156324,13.3702287
La Source Gabriel Côtes de Provence Rosé 2019,France,Côtes de Provence,Château La Tour de l'Évêque,3.9,38,8.55,2019,43.4370505,6.652775
Piemonte Lavignone Rosato 2019,Italy,Piemonte,Pico Maccario,3.9,38,10.5,2019,45.060735,7.923549
Classic Rosé Blend 2018,South Africa,Paarl,Roodeberg,3.5,38,8.32,2018,-33.7310282,18.9642117
Blush Karasakiz 2018,Turkey,Thrace,Suvla,3.7,39,12.0,2018,41.2170107,27.116227
Portillo Rosé Malbec 2019,Argentina,Tunuyán,Salentein,3.6,39,7.81,2019,-33.5812925,-69.0154258
Passivento Nero d'Avola Rosato 2018,Italy,Terre Siciliane,Barone Montalto,4.0,39,8.29,2018,42.83333,12.83333
Pink 2019,Germany,Pfalz,Weingut Metzger,3.6,39,6.29,2019,53.8156324,13.3702287
Pierre Jourdan Tranquille Blush 2019,South Africa,Franschhoek,Haute Cabrière,3.8,40,7.95,2019,-33.909167,19.119444
Cerasuolo Montepulciano d'Abruzzo Rosé 2018,Italy,Cerasuolo d'Abruzzo,Valentini,4.1,40,92.15,2018,42.83333,12.83333
Clos Mireille Rosé (Coeur de Grain) 2019,France,Côtes de Provence,Domaines Ott,4.2,40,29.15,2019,43.4370505,6.652775
Cipresseto Rosato Toscana 2019,Italy,Toscana,Santa Cristina,3.6,40,11.02,2019,43.4586541,11.1389204
Grenache Noir - Viognier 2018,South Africa,Walker Bay,Creation,3.8,40,12.81,2018,-34.518515,19.2880206
Lagrein Rosé 2018,Italy,Vigneti delle Dolomiti,Alois Lageder,3.5,40,9.9,2018,46.38333,11.85
1701 Rosé 2018,France,Languedoc,Domaine Montrose,4.1,40,25.21,2018,43.6796869,1.3966515
Rosé 2018,South Africa,Western Cape,Laborie,3.9,40,6.78,2018,-33.546977,20.72753
Rosado (Clarete) 2019,Spain,Ribera del Duero,Protos,3.4,40,6.7,2019,41.6657566,-3.6863295
Bella Rosa-ae Rosé 2019,Italy,Cerasuolo d'Abruzzo,Torre dei Beati,3.8,41,14.73,2019,42.83333,12.83333
Rosa Rosé 2018,Italy,Venezia,Borgo Molino,3.6,41,10.24,2018,45.4371908,12.3345898
Starlette Shiraz Rosé 2019,South Africa,Franschhoek,Allée Bleue,3.8,41,8.95,2019,-33.909167,19.119444
Amstramgram Grande Cuvée Cérès 2019,France,Languedoc,Calmel & Joseph,3.6,42,7.75,2019,43.6796869,1.3966515
Langhe Rosato Diecigradi 2017,Italy,Langhe,Broccardo,3.9,42,8.6,2017,44.493036,7.974639
Château La Rouvière Rosé 2015,France,Bandol,Domaines Bunan,4.0,42,34.9,2015,43.1357717,5.7523647
Vignealte Bardolino Classico Chiaretto 2019,Italy,Bardolino Classico,Zeni,3.8,42,7.9,2019,42.83333,12.83333
Petula Rosé 2019,France,Luberon,Marrenon,3.6,42,8.95,2019,43.8559446,5.5895866
Rioja Rosado 2019,Spain,Rioja,Baron de Ley,3.3,43,5.45,2019,42.3285528,-2.4674917
Zweigelt Langenloiser Rosé 2019,Austria,Niederösterreich,Weingut Bründlmayer,3.9,44,8.98,2019,48.2817813,15.7632457
Discover Rosé 2019,South Africa,Western Cape,Spier,3.7,44,5.5,2019,-33.546977,20.72753
Lacrimarosa Irpinia Rosato 2019,Italy,Irpinia,Mastroberardino,3.4,45,11.15,2019,39.2278067,9.1185486
Le Champ des Grillons Rosé 2019,France,Côtes de Thongue,La Croix Belle,3.8,45,7.95,2019,45.508189,2.697212
Côtes de Provence Rosé 2019,France,Côtes de Provence,Domaine Pinchinat,4.1,45,10.65,2019,43.4370505,6.652775
Blush Karasakiz 2017,Turkey,Thrace,Suvla,3.4,46,12.0,2017,41.2170107,27.116227
Belleruche Côtes du Rhône Rosé 2019,France,Côtes-du-Rhône,M. Chapoutier,3.6,46,9.69,2019,44.7667285,4.8528701
Alta Colección Rosado Mendoza 2019,Argentina,Uco Valley,Bodega Piedra Negra,3.8,46,8.72,2019,-34.0,-64.0
Regaleali Le Rosè 2019,Italy,Terre Siciliane,Tasca d'Almerita,3.7,47,7.66,2019,42.83333,12.83333
Rosat 2018,Spain,Catalunya,Segura Viudas,3.3,47,6.99,2018,41.8523094,1.5745043
Viñas Viejas Rosado 2017,Spain,Castilla y León,Marqués de Riscal,4.1,47,33.99,2017,41.55005,-5.1387401
Tempranillo Rosado 2019,Spain,Valdepeñas,Viña Albali,3.5,47,4.15,2019,38.7594573,-3.3847392
Kòmaros Rosato 2019,Italy,Marche,Garofoli,3.9,48,6.9,2019,43.3458388,13.1415872
Il Rosato 2019,Italy,Vino d'Italia,Nervi,3.8,48,14.45,2019,41.2674815,16.4404727
Rosé 2019,Italy,Toscana,Brancaia,3.7,48,11.0,2019,43.4586541,11.1389204
Rosat 2017,Spain,Pla de Bages,Abadal,3.6,49,7.88,2017,41.7785429,1.8904077
Côtes de Provence Rosé 2017,France,Côtes de Provence,Domaine de La Rouillère,3.8,49,26.22,2017,43.4370505,6.652775
Côtes de Provence Rosé 2018,France,Côtes de Provence,Château des Sarrins,4.0,49,13.0,2018,43.4370505,6.652775
Dão Colheita Seleccionada Rose 2019,Portugal,Dão,Cabriz,3.7,49,7.27,2019,39.9375585,-7.8638768
Suivez-Moi-Jeune-Homme Coteaux Varois en Provence 2019,France,Coteaux Varois en Provence,Château des Annibals,3.8,50,11.8,2019,47.283531,0.303704
Sant'Emiliano Chiaretto Rosé 2018,Italy,Garda,Pratello,3.7,50,8.75,2018,45.5756512,10.7085298
Otazu Tempranillo Rosé 2018,Spain,Navarra,Bodega Otazu,3.7,51,8.45,2018,42.6125488,-1.8307877
Villa la Vie en Rosé 2019,France,Comté Tolosan,Lionel Osmin & Cie,3.6,51,7.3,2019,43.105511,5.844843
Rosé de Diel Trocken 2018,Germany,Nahe,Diel,3.8,51,13.48,2018,49.5404375,7.0255739
Rosammuri Rosato 2018,Italy,Terre Siciliane,Tenuta Rapitalà,3.5,51,7.7,2018,42.83333,12.83333
Rosado 2018,Spain,Binissalem-Mallorca,Macià Batle,3.5,52,11.8,2018,39.6002717,2.6720865
Côtes de Provence Rosé 2019,France,Côtes de Provence,Le Paradou,4.1,52,16.55,2019,43.4370505,6.652775
Grenache Noir - Viognier 2019,South Africa,Walker Bay,Creation,3.5,52,11.99,2019,-34.518515,19.2880206
Clos du Temple 2018,France,Languedoc,Gérard Bertrand,4.5,52,249.0,2018,43.6796869,1.3966515
Terre Lontane Rosato 2018,Italy,Val di Neto,Librandi,3.6,52,7.71,2018,39.1881325,16.8550962
Sangre de Toro Rosado 2018,Spain,Catalunya,Torres,3.2,53,8.89,2018,41.8523094,1.5745043
Spatburgunder Rosé Trocken 2013,Germany,Pfalz,Reichsrat von Buhl,3.8,53,10.69,2013,53.8156324,13.3702287
Grand Ferrage Côtes de Provence 2019,France,Côtes de Provence,Mathilde Chapoutier,4.0,53,13.0,2019,43.4370505,6.652775
Bardolino Chiaretto 2018,Italy,Bardolino,Sartori,3.3,53,8.67,2018,45.5475595,10.7242145
Rosé 2017,Italy,Sicilia,Stemmari,3.5,54,5.84,2017,37.587794,14.155048
Guarda Rios Rosé 2018,Portugal,Ribatejo,Vale d'Algares,3.3,54,5.85,2018,41.1828303,-8.6464755
Corail Côtes de Provence 2019,France,Côtes de Provence,Château de Roquefort,3.9,54,12.9,2019,43.4370505,6.652775
De Casta Rosado 2019,Spain,Catalunya,Torres,3.4,54,5.59,2019,41.8523094,1.5745043
Côtes de Provence Rosé 2019,France,Côtes de Provence,Hecht & Bannier,4.0,54,12.9,2019,43.4370505,6.652775
Rose de Petro Vaselo Pinot Noir 2017,Romania,Recas,Petro Vaselo,3.8,54,11.9,2017,45.8017298,21.5094023
Grenache Rosado 2018,Spain,La Mancha,Costa Azul,3.2,54,5.16,2018,28.3774367,-16.6977504
Chiaretto Garda Classico 2018,Italy,Garda,Bulgarini,3.9,55,8.68,2018,45.5756512,10.7085298
Fossa Granara Bardolino Chiaretto 2018,Italy,Bardolino Chiaretto,Tommasi,3.7,55,8.4,2018,42.71231,13.78745
Bardolino Chiaretto 2012,Italy,Bardolino,Corte Giara,3.4,55,6.95,2012,45.5475595,10.7242145
RosesRoses 2019,Italy,Veneto,Ottella,3.9,55,8.9,2019,45.6476663,11.8665254
Rosé Gran Cuvée Especial 2018,Spain,Navarra,Pago de Cirsus,3.6,56,9.9,2018,42.6125488,-1.8307877
Nero d'Avola Rosato 2017,Italy,Terre Siciliane,Barone Montalto,3.2,56,5.1,2017,42.83333,12.83333
Rosato 2018,Italy,Terre Siciliane,Feudo Arancio,3.6,56,6.5,2018,42.83333,12.83333
Cabernet Sauvignon Rosado 2019,Spain,Somontano,Enate,3.9,56,8.04,2019,42.0883878,0.0994041
Zinfandel White 2016,United States,California,Canyon Road,3.3,56,5.95,2016,36.7014631,-118.755997
Cerasuolo d'Abruzzo Rosé (Unico) 2019,Italy,Cerasuolo d'Abruzzo,Tenuta Ulisse,3.6,57,8.9,2019,42.83333,12.83333
Château Vignelaure Rosé 2019,France,Coteaux d'Aix-en-Provence,Château Vignelaure,3.7,57,13.55,2019,43.5276676,5.4063971
L'Origine Côtes de Provence Rosé 2018,France,Côtes de Provence,Château de l'Aumerade,3.3,57,11.02,2018,43.4370505,6.652775
Tavel 2019,France,Tavel,E. Guigal,3.7,57,11.6,2019,44.0127055,4.6982216
V Rosado 2018,Spain,Rioja,Bodegas Faustino,3.3,57,5.49,2018,42.3285528,-2.4674917
Alìe Rosé Toscana 2019,Italy,Toscana,Tenuta Ammiraglia,4.1,57,12.12,2019,43.4586541,11.1389204
Rosé 2018,South Africa,Stellenbosch,Welmoed,3.2,58,7.36,2018,-33.934444,18.869167
Twenty Twelve Pink 2018,Spain,Plà i Llevant,Es Fangar,3.7,58,35.1,2018,39.7710681,3.3609527
GB Spätburgunder Rosé 2019,Germany,Rheingau,Georg Breuer,3.7,59,9.26,2019,50.1339394,8.0701591
Rioja Tempranillo Rosado 2018,Spain,Rioja,Antaño,3.1,59,4.25,2018,42.3285528,-2.4674917
Les Clans Rosé 2018,France,Côtes de Provence,Château d'Esclans,4.4,59,54.0,2018,43.4370505,6.652775
Merlot Rosé 2018,France,Pays d'Oc,Fortant,3.4,59,6.55,2018,43.604764,1.4540399
Rosat 2018,Spain,Pla de Bages,Abadal,3.3,60,7.31,2018,41.7785429,1.8904077
Pinot Grigio Blush 2019,Italy,delle Venezie,Cielo e Terra,4.1,60,6.16,2019,45.3485187,11.9571797
Bandol Rosé 2019,France,Bandol,La Suffrene,3.8,60,15.5,2019,43.1357717,5.7523647
Domaene Gobelsburg Rosé 2019,Austria,Niederösterreich,Schloss Gobelsburg,3.7,61,7.96,2019,48.2817813,15.7632457
Château de Selle Rosé (Coeur de Grain) 2019,France,Côtes de Provence,Domaines Ott,4.2,61,35.9,2019,43.4370505,6.652775
Zinfandel White 2018,United States,California,Canyon Road,3.4,62,6.21,2018,36.7014631,-118.755997
Blanc de Noir 2018,South Africa,Constantia,Buitenverwachting,3.6,62,8.56,2018,-34.0283333,18.4155556
Rosé vom Spätburgunder 2018,Germany,Baden,Salwey,3.9,63,9.95,2018,53.0023496,9.0820955
Kleine Rust Pinotage Rosé 2019,South Africa,Stellenbosch,Stellenrust,3.7,63,5.76,2019,-33.934444,18.869167
Tellus Rosé di Syrah 2016,Italy,Lazio,Falesco,3.6,64,11.82,2016,41.9808038,12.7662312
Garnacha Rosado 2018,Spain,Navarra,Bodegas Príncipe de Viana,3.4,64,5.9,2018,42.6125488,-1.8307877
Lumare 2019,Italy,Calabria,Tenuta Iuzzolini,4.1,65,8.72,2019,39.0565974,16.5249864
Rosé La Chevalière 2019,France,Provence,Laroche,3.7,66,7.89,2019,44.0580563,6.0638506
Mythique Languedoc Rosé 2017,France,Languedoc,Val d'Orbieu,3.5,66,6.86,2017,43.6796869,1.3966515
The Long Walk Pinotage Rosé 2019,South Africa,Western Cape,Footprint,3.6,67,5.95,2019,-33.546977,20.72753
Rosa dei Masi delle Venezie 2019,Italy,delle Venezie,Masi,3.6,68,10.99,2019,45.3485187,11.9571797
Harmonie De Gascogne Rosé 2019,France,Côtes de Gascogne,Domaine de Pellehaut,4.0,69,5.79,2019,48.510283,-2.787756
Château Romassan Rosé (Coeur de Grain) 2019,France,Bandol,Domaines Ott,4.2,69,29.15,2019,43.1357717,5.7523647
Pinot Noir Trocken Rosé 2019,Germany,Rheingau,Künstler,3.8,69,12.19,2019,50.1339394,8.0701591
White Zinfandel 2018,United States,California,Barefoot,3.3,70,6.0,2018,36.7014631,-118.755997
Bardolino Chiaretto 2019,Italy,Bardolino,Zenato,3.4,70,5.45,2019,45.5475595,10.7242145
Rosato di Toscana Sbrancato 2016,Italy,Toscana,Tenuta Il Poggione,3.7,71,10.99,2016,43.4586541,11.1389204
Rosado 2019,Spain,Rioja,Cune (CVNE),3.3,71,7.6,2019,42.3285528,-2.4674917
Château de Berne Rosé 2018,France,Côtes de Provence,Château de Berne,4.0,72,20.96,2018,43.4370505,6.652775
Côtes de Provence Rosé 2019,France,Côtes de Provence,Marchandise,4.2,72,11.6,2019,43.4370505,6.652775
Rosé 2019,Chile,Colchagua Valley,Los Vascos,3.9,72,8.94,2019,-30.0,-71.0
Pétale de Rosé 2019,France,Côtes de Provence,Château La Tour de l'Évêque,3.6,73,15.9,2019,43.4370505,6.652775
Sancerre Rosé 2014,France,Sancerre,Pascal Jolivet,3.8,73,18.75,2014,47.3306906,2.8390454
Malbec Rosé 2018,Argentina,Mendoza,Andeluna,3.7,73,7.5,2018,-34.787093,-68.4381868
Santa Digna Reserva Cabernet Sauvignon Rosé 2019,Chile,Central Valley,Miguel Torres,3.5,74,6.79,2019,-36.0,-72.0
Bardolino Chiaretto Classico 2019,Italy,Bardolino,Lenotti,3.8,76,4.83,2019,45.5475595,10.7242145
Bandol Rosé 2017,France,Bandol,Château Pradeaux,4.1,77,19.95,2017,43.1357717,5.7523647
Tavel Rosé 2019,France,Tavel,Château d'Aqueria,3.8,77,15.42,2019,44.0127055,4.6982216
Rosato 2019,Italy,Terre Siciliane,Feudo Arancio,3.8,78,6.3,2019,42.83333,12.83333
Infinito Rosé 2018,Italy,Bardolino Chiaretto,Santi,3.8,78,6.8,2018,42.71231,13.78745
Rosado 2019,Spain,Rioja Alavesa,El Coto,3.5,79,4.9,2019,42.544151,-2.5454224
Tellus Rosé di Syrah 2017,Italy,Lazio,Falesco,3.7,80,7.9,2017,41.9808038,12.7662312
Rosè 2017,Romania,Murfatlar,Alira,3.8,81,10.5,2017,44.1742796,28.4107956
Belvento Velarosa Toscana (I Vini Del Mare) 2018,Italy,Toscana,Petra,3.5,81,11.92,2018,43.4586541,11.1389204
Bordeaux Rosé 2018,France,Bordeaux,Mouton Cadet,3.3,82,9.6,2018,44.841225,-0.5800364
Albia Toscana Rosé 2019,Italy,Toscana,Ricasoli,3.6,82,8.9,2019,43.4586541,11.1389204
Sancerre Rosé 2018,France,Sancerre,Michel Thomas & Fils,3.8,82,14.72,2018,47.3306906,2.8390454
Luces Tempranillo - Merlot - Syrah Rosado 2019,Spain,Somontano,Viñas del Vero,3.5,82,5.79,2019,42.0883878,0.0994041
Rosato 2017,Italy,Salento,Cantina Rosa del Golfo,3.6,82,12.9,2017,40.248604,15.190058
Rosé Fleuri 2019,France,Coteaux d'Aix-en-Provence,Château Barbebelle,3.9,83,8.9,2019,43.5276676,5.4063971
Côtes de Provence Rosé 2017,France,Côtes de Provence,Château des Sarrins,3.8,83,13.6,2017,43.4370505,6.652775
Côtes de Provence Rosé 2016,France,Côtes de Provence,Domaine Pinchinat,3.7,83,13.3,2016,43.4370505,6.652775
Amstramgram Grande Cuvée Cérès 2018,France,Languedoc,Calmel & Joseph,4.0,83,7.75,2018,43.6796869,1.3966515
Solidarity Rosé 2019,Spain,Cariñena,Bodegas Care,3.9,84,5.7,2019,41.3382122,-1.2263149
Velue Rosé Cabernet 2018,Austria,Weinviertel,Johannes Zillinger,4.0,84,7.6,2018,48.4968419,16.334688
El Viaje de Ramón Garnacha 2019,Spain,Rioja,Ramón Bilbao,3.7,86,6.75,2019,42.3285528,-2.4674917
Bordeaux Rosé 2018,France,Bordeaux,Château Landonnet,3.2,87,8.78,2018,44.841225,-0.5800364
Mabilia Cirò Rosé 2018,Italy,Cirò,Ippolito 1845,3.7,87,9.5,2018,39.381732,17.0613529
Brut Rosé (Chardonnay - Pinot Noir) 2014,South Africa,Robertson,Graham Beck,3.8,87,19.9,2014,-33.802222,19.883611
Finca Wolffer Rosé 2019,Argentina,Mendoza,Wölffer Estate,3.9,89,14.9,2019,-34.787093,-68.4381868
Conde de Valdemar Rosado 2018,Spain,Rioja,Bodegas Valdemar,3.7,89,5.8,2018,42.3285528,-2.4674917
Héritage Côtes de Provence Rosé 2019,France,Provence,Estandon,3.7,90,9.85,2019,44.0580563,6.0638506
Le Rosé 2019,France,Pays d'Oc,Paul Mas,3.7,90,7.19,2019,43.604764,1.4540399
Rosado (Tempranillo) 2018,Spain,La Mancha,Viña San Juan,3.7,91,5.75,2018,28.3774367,-16.6977504
Bandol Rosé 2016,France,Bandol,Domaine de la Tour du Bon,3.7,92,38.01,2016,43.1357717,5.7523647
Rose de Nymphe Emue 2019,France,Minervois,Château Maris,3.9,95,8.72,2019,43.2718,2.52099
3055 Rosé 2018,Spain,Penedès,Jean Leon,3.8,95,13.37,2018,41.3463825,1.6995213
Clos Beylesse Côtes de Provence Rosé 2018,France,Côtes de Provence,Domaine de l'Abbaye,4.3,96,45.0,2018,43.4370505,6.652775
Rosé de Provence 2018,France,Coteaux Varois en Provence,Fortant,3.9,96,8.2,2018,47.283531,0.303704
Mas Donis Rosat Montsant 2018,Spain,Montsant,Capçanes,3.5,97,6.95,2018,41.1171253,1.211005
