Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,city,country,lat,lng,3-5_tavg,3-5_tmin,3-5_tmax,3-5_prcp,3-5_tsun,6-8_tavg,6-8_tmin,6-8_tmax,6-8_prcp,6-8_tsun,9-11_tavg,9-11_tmin,9-11_tmax,9-11_prcp,9-11_tsun
Cabernet Sauvignon 2014,United States,Washington,Stimson Estate Cellars,3.3,101,8.29,2014-01-01,Washington,United States,38.8950368,-77.0365427,13.6,8.633333333333333,18.533333333333335,71.0,,25.7,21.53333333333333,29.900000000000002,133.0,,15.600000000000001,10.833333333333334,20.4,88.0,
Côte-Rôtie Le Gallet Blanc 2017,France,Côte-Rôtie,Francois Villard,4.4,101,48.0,2017-01-01,Côte-Rôtie,France,44.7267925,-0.3900425,12.066666666666668,8.1,17.233333333333334,87.46666666666665,,20.566666666666666,15.433333333333335,26.7,32.833333333333336,,14.5,10.233333333333334,19.866666666666664,54.199999999999996,
Capatosta 2015,Italy,Toscana,Poggio Argentiera,3.8,101,19.9,2015-01-01,Toscana,Italy,43.4586541,11.1389204,,,,,,,,,,,,,,,
Constance Madiran 2015,France,Madiran,Domaine Berthoumieu,3.8,101,9.5,2015-01-01,Madiran,France,43.5502022,-0.0580853,,,,,,,,,,,,,,,
Oak Cask Malbec 2019,Argentina,Mendoza,Trapiche,3.7,1010,7.36,2019-01-01,Mendoza,Argentina,-34.787093,-68.4381868,16.133333333333336,11.0,,,,7.466666666666666,0.44999999999999996,20.3,,,16.400000000000002,9.0,24.8,,
Amancaya Malbec - Cabernet Sauvignon 2017,Argentina,Mendoza,Caro (Catena and Rothschild),4.0,1010,16.8,2017-01-01,Mendoza,Argentina,-34.787093,-68.4381868,13.800000000000002,,,,,8.733333333333333,0.8,,,,15.766666666666666,,,,
Laccento Ruché di Castagnole Monferrato 2017,Italy,Ruchè,Montalbera,4.0,1012,19.9,2017-01-01,Ruchè,Italy,45.6350879,10.494352,,,,,,,,,,,,,,,
San Leonardo 2011,Italy,Vigneti delle Dolomiti,San Leonardo,4.3,1012,48.64,2011-01-01,Vigneti delle Dolomiti,Italy,46.38333,11.85,,,,,,,,,,,,,,,
Fausto Tannat 2015,Brazil,Serra Gaúcha,Pizzato,3.6,1012,11.35,2015-01-01,Serra Gaúcha,Brazil,-29.1551147,-51.5153447,,,,,,,,,,,,,,,
Pauillac (Grand Cru Classé) 2007,France,Pauillac,Château Pichon Baron,4.4,1014,119.0,2007-01-01,Pauillac,France,45.1995626,-0.7484994,13.066666666666668,8.566666666666668,18.2,86.33333333333333,10740.0,21.8,16.5,27.733333333333334,47.666666666666664,14260.0,16.533333333333335,12.6,21.666666666666668,73.66666666666667,10000.0
Disciples 2016,United States,Napa Valley,The Crane Assembly,4.3,1014,53.61,2016-01-01,Napa Valley,United States,38.8484702,-94.413093,,,,,,,,,,,,,,,
Zinfandel 2015,United States,Mendocino County,Bonterra,3.6,1015,16.75,2015-01-01,Mendocino County,United States,39.3176491,-123.4126399,,,,,,,,,,,,,,,
Margaux 2010,France,Margaux,Château Labégorce,4.0,1016,40.95,2010-01-01,Margaux,France,45.0463335,-0.6729117,12.866666666666667,8.200000000000001,18.3,75.0,12320.0,21.066666666666666,15.699999999999998,27.066666666666666,48.666666666666664,16540.0,15.100000000000001,11.033333333333333,20.36666666666667,95.66666666666667,10040.0
La Luna e i Falò Barbera d'Asti Superiore 2015,Italy,Barbera d'Asti,Vite Colte,3.8,1016,11.49,2015-01-01,Barbera d'Asti,Italy,44.8524808,8.2414532,,,,,,,,,,,,,,,
Ribera del Duero 2015,Spain,Ribera del Duero,Garmón,4.2,1017,38.8,2015-01-01,Ribera del Duero,Spain,41.6657566,-3.6863295,10.0,3.8000000000000003,16.166666666666668,39.0,13540.0,17.833333333333336,10.533333333333333,25.099999999999998,30.333333333333332,18540.0,13.466666666666667,7.933333333333334,19.0,66.0,9960.0
Les Jardins Rouge 2018,France,Faugères,Saint Antonin,3.8,102,7.95,2018-01-01,Faugères,France,43.5648186,3.1901144,13.8,8.1,19.5,,,,,,,,16.9,12.3,22.1,,
Nero d'Avola - Syrah 2018,Italy,Terre Siciliane,Roccaperciata,3.7,102,4.75,2018-01-01,Terre Siciliane,Italy,42.83333,12.83333,,,,,,,,,,,,,,,
La Bienquerida 2013,Spain,Bierzo,Losada,4.1,102,35.97,2013-01-01,Bierzo,Spain,42.60645,-6.8097712,12.6,6.133333333333333,19.1,49.0,13580.0,20.133333333333333,12.833333333333334,27.400000000000002,20.666666666666668,18340.0,13.766666666666666,7.8,19.766666666666666,45.0,10380.0
Bonera 2018,Italy,Terre Siciliane,Mandrarossa,3.7,102,9.5,2018-01-01,Terre Siciliane,Italy,42.83333,12.83333,,,,,,,,,,,,,,,
Noi 4 Bolgheri 2016,Italy,Bolgheri,Tenuta dei Sette Cieli,4.0,102,23.5,2016-01-01,Bolgheri,Italy,43.2340065,10.6179334,,,,,,,,,,,,,,,
Pinot Noir 2016,New Zealand,Marlborough,Clos Henri Vineyard,3.9,102,27.78,2016-01-01,Marlborough,New Zealand,-41.4744747,173.8330263,,,,,,,,,,,,,,,
Saint-Émilion Grand Cru 2005,France,Saint-Émilion Grand Cru,Château Grand Barrail Lamarzelle Figeac,3.9,102,39.95,2005-01-01,Saint-Émilion Grand Cru,France,44.847147,-0.547337,11.966666666666667,7.433333333333334,17.0,58.666666666666664,11780.0,20.766666666666666,15.700000000000001,26.333333333333332,45.333333333333336,15520.0,14.199999999999998,10.433333333333332,19.0,53.0,8700.0
Gran Selección Tempranillo 2017,Spain,Castilla,Viña San Juan,3.4,102,6.75,2017-01-01,Castilla,Spain,40.4763551,-3.6800358,,7.666666666666667,17.766666666666666,63.666666666666664,,,19.5,33.333333333333336,4.166666666666667,,,11.933333333333335,21.2,59.73333333333333,
Syrah 2017,South Africa,Paarl,Glen Carlou,3.9,102,18.25,2017-01-01,Paarl,South Africa,-33.7310282,18.9642117,17.6,10.966666666666667,,,,11.799999999999999,5.433333333333333,21.2,,,20.1,12.0,,,
Zweigelt 2017,Austria,Burgenland,Judith Beck,3.9,102,10.6,2017-01-01,Burgenland,Austria,47.5000001,16.4166666,,,,,,21.9,16.7,27.4,,,9.7,6.2,13.7,,
Saint-Émilion Grand Cru 2015,France,Saint-Émilion Grand Cru,Château Vieux Clos St. Emilion,4.1,102,23.09,2015-01-01,Saint-Émilion Grand Cru,France,44.847147,-0.547337,13.066666666666668,8.433333333333334,18.400000000000002,80.66666666666667,11840.0,20.3,15.6,25.700000000000003,66.0,14940.0,16.5,12.299999999999999,22.03333333333333,64.33333333333333,10860.0
Listán Negro 2017,Spain,Lanzarote,Bermejo,3.6,102,17.95,2017-01-01,Lanzarote,Spain,29.0397081,-13.6362916,19.066666666666666,15.566666666666668,23.733333333333334,1.7333333333333332,,24.099999999999998,20.599999999999998,29.8,0.0,,22.266666666666666,19.03333333333333,27.066666666666666,21.933333333333337,
Viile Metamorfosis Merlot 2015,Romania,Dealu Mare,Vitis Metamorfosis,3.5,102,7.5,2015-01-01,Dealu Mare,Romania,46.0417098,22.7959016,,,,,,,,,,,,,,,
Merlot - Cabernet Sauvignon - Petit Verdot 2014,South Africa,Walker Bay,Creation,3.9,102,12.48,2014-01-01,Walker Bay,South Africa,-34.518515,19.2880206,,,,,,,,,,,,,,,
RWT Shiraz 2017,Australia,Barossa Valley,Penfolds,4.4,102,229.0,2017-01-01,Barossa Valley,Australia,-34.5817132,138.9987872,16.433333333333334,10.933333333333332,23.03333333333333,30.05,,9.533333333333333,5.3,14.166666666666666,78.95,,13.066666666666665,7.1000000000000005,19.5,83.83333333333333,
Fronton 2018,France,Fronton,Château Bellevue La Forét,3.5,102,6.95,2018-01-01,Fronton,France,43.840295,1.390285,,,,,,,,,,,,,,,
Costers Del Gravet Montsant 2013,Spain,Montsant,Capçanes,3.7,102,13.95,2013-01-01,Montsant,Spain,41.1171253,1.211005,15.133333333333333,9.700000000000001,20.566666666666666,33.0,13860.0,24.733333333333334,20.1,29.366666666666664,19.0,14850.0,17.8,13.0,22.599999999999998,75.0,9340.0
Merlot 2018,Italy,Terre Siciliane,Cusumano,3.4,102,7.9,2018-01-01,Terre Siciliane,Italy,42.83333,12.83333,,,,,,,,,,,,,,,
Pinot Noir 2015,Austria,Burgenland,Paul Achs,3.7,102,33.05,2015-01-01,Burgenland,Austria,47.5000001,16.4166666,,,,,,18.9,14.4,23.9,,,,,,,
Coume de l'Olla Rouge 2019,France,Vin de France,Matassa,4.1,102,16.96,2019-01-01,Vin de France,France,50.2767373,3.977096,,,,,,,,,,,,,,,
Schwarzer 2017,Germany,Pfalz,Weingut Metzger,3.6,102,13.15,2017-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
Haut-Médoc 2015,France,Haut-Médoc,Château Beaumont,3.8,1020,17.36,2015-01-01,Haut-Médoc,France,45.1445995,-0.7357492,13.066666666666668,8.433333333333334,18.400000000000002,80.66666666666667,11840.0,20.3,15.6,25.700000000000003,66.0,14940.0,16.5,12.299999999999999,22.03333333333333,64.33333333333333,10860.0
Bourgogne Pinot Noir (La Vignée) 2015,France,Bourgogne,Bouchard Père & Fils,3.6,1020,17.59,2015-01-01,Bourgogne,France,49.3555104,4.0681417,,,,,,,,,,,,,,,
Pinot Noir 2017,South Africa,Hemel-en-Aarde Valley,Hamilton Russell Vineyards,4.2,1022,49.09,2017-01-01,Hemel-en-Aarde Valley,South Africa,-34.39455,19.22012,,,,,,,,,,,,,,,
Zinfandel 2016,United States,California,Geyser Peak,3.7,1023,10.9,2016-01-01,California,United States,36.7014631,-118.755997,,,,,,,,,,,,,,,
Valpolicella Ripasso Classico Superiore 2017,Italy,Valpolicella Ripasso Classico,Bolla,3.7,1024,15.5,2017-01-01,Valpolicella Ripasso Classico,Italy,42.83333,12.83333,,,,,,,,,,,,,,,
Rosso di Montalcino 2015,Italy,Rosso di Montalcino,Castiglion del Bosco,3.9,1025,26.5,2015-01-01,Rosso di Montalcino,Italy,43.055612,11.3592953,,,,,,,,,,,,,,,
Ripanço Private Selection Alentejano 2016,Portugal,Alentejano,José Maria da Fonseca,3.7,1026,8.6,2016-01-01,Alentejano,Portugal,38.8421261,-7.5871012,,,,,,,,,,,,,,,
Riserva Cannonau di Sardegna 2017,Italy,Cannonau di Sardegna,Sella & Mosca,3.8,1027,10.66,2017-01-01,Cannonau di Sardegna,Italy,40.2568502,9.6218801,,,,,,,,,,,,,,,
60 Sessantanni Old Vines Primitivo di Manduria 2016,Italy,Primitivo di Manduria,San Marzano,4.4,1028,17.24,2016-01-01,Primitivo di Manduria,Italy,40.4002788,17.6374622,,,,,,,,,,,,,,,
Kith & Kin Cabernet Sauvignon 2017,United States,Napa Valley,Round Pond Estate,4.2,1028,38.5,2017-01-01,Napa Valley,United States,38.8484702,-94.413093,,,,,,,,,,,,,,,
Zinfandel 2017,United States,California,Rombauer Vineyards,4.3,1029,34.12,2017-01-01,California,United States,36.7014631,-118.755997,,,,,,,,,,,,,,,
Cerro Añon Rioja Gran Reserva 2011,Spain,Rioja,Bodegas Olarra,4.1,103,14.65,2011-01-01,Rioja,Spain,42.3285528,-2.4674917,12.433333333333332,6.400000000000001,18.466666666666665,21.333333333333332,12980.0,21.833333333333332,15.0,28.7,26.166666666666668,18040.0,13.800000000000002,8.066666666666668,19.499999999999996,31.333333333333332,10540.0
Bush Vine GSM (Shiraz - Grenache - Mourvedre) 2013,Australia,McLaren Vale,Geoff Merrill,4.0,103,14.57,2013-01-01,McLaren Vale,Australia,-35.2172617,138.5416998,,13.166666666666666,21.766666666666666,53.93333333333333,,,8.6,14.9,61.0,,,11.866666666666667,22.2,25.599999999999998,
Plaer Vinyes Velles 2016,Spain,Priorat,Acustic Celler,4.1,103,26.18,2016-01-01,Priorat,Spain,41.2137983,0.8116236,16.96666666666667,9.6,21.900000000000002,17.833333333333332,,25.933333333333334,20.066666666666666,30.733333333333334,24.366666666666664,,17.599999999999998,12.200000000000001,23.53333333333333,60.73333333333334,
Cabernet - Shiraz 2016,Spain,La Mancha,Añoranza,3.4,103,3.95,2016-01-01,La Mancha,Spain,28.3774367,-16.6977504,,5.400000000000001,13.033333333333333,18.466666666666665,,16.65,11.466666666666667,20.03333333333333,29.099999999999998,,8.95,6.966666666666666,14.200000000000001,37.43333333333334,
Saint-Émilion Grand Cru 2014,France,Saint-Émilion Grand Cru,Château La Confession,3.9,103,26.9,2014-01-01,Saint-Émilion Grand Cru,France,44.847147,-0.547337,11.399999999999999,7.233333333333334,16.400000000000002,72.0,9820.0,20.8,15.666666666666666,26.399999999999995,84.0,16120.0,14.5,11.066666666666668,19.03333333333333,99.33333333333333,7620.0
Comte de Sénéjac Haut-Médoc 2011,France,Haut-Médoc,Château Sénéjac,3.7,103,16.83,2011-01-01,Haut-Médoc,France,45.1445995,-0.7357492,12.5,7.666666666666667,18.033333333333335,45.333333333333336,12600.0,20.566666666666666,15.266666666666667,26.5,44.666666666666664,15300.0,13.533333333333331,9.433333333333334,18.599999999999998,110.66666666666667,10060.0
Gran Masetto Teroldego 2014,Italy,Trentino,Endrizzi,4.4,103,39.9,2014-01-01,Trentino,Italy,46.1029536,11.1297425,-0.6999999999999998,-2.933333333333333,1.7333333333333332,84.33333333333333,7740.0,10.333333333333334,7.1000000000000005,14.333333333333334,54.0,14820.0,3.033333333333333,0.7999999999999998,5.333333333333333,105.33333333333333,6980.0
